codigo_municipio,nome_municipio,populacao,ano
3100104,Abadia dos Dourados - MG,6704,2010
3100104,Abadia dos Dourados - MG,6724,2011
3100104,Abadia dos Dourados - MG,6743,2012
3100104,Abadia dos Dourados - MG,6967,2013
3100104,Abadia dos Dourados - MG,6992,2014
3100104,Abadia dos Dourados - MG,7015,2015
3100104,Abadia dos Dourados - MG,7037,2016
3100104,Abadia dos Dourados - MG,7059,2017
3100104,Abadia dos Dourados - MG,6972,2018
3100104,Abadia dos Dourados - MG,6989,2019
3100104,Abadia dos Dourados - MG,7006,2020
3100104,Abadia dos Dourados - MG,7022,2021
3100104,Abadia dos Dourados - MG,6272,2022
3100104,Abadia dos Dourados - MG,6272,2023
3100203,Abaeté - MG,22690,2010
3100203,Abaeté - MG,22716,2011
3100203,Abaeté - MG,22740,2012
3100203,Abaeté - MG,23451,2013
3100203,Abaeté - MG,23494,2014
3100203,Abaeté - MG,23535,2015
3100203,Abaeté - MG,23574,2016
3100203,Abaeté - MG,23611,2017
3100203,Abaeté - MG,23223,2018
3100203,Abaeté - MG,23237,2019
3100203,Abaeté - MG,23250,2020
3100203,Abaeté - MG,23263,2021
3100203,Abaeté - MG,22675,2022
3100203,Abaeté - MG,22675,2023
3100302,Abre Campo - MG,13311,2010
3100302,Abre Campo - MG,13309,2011
3100302,Abre Campo - MG,13306,2012
3100302,Abre Campo - MG,13703,2013
3100302,Abre Campo - MG,13711,2014
3100302,Abre Campo - MG,13719,2015
3100302,Abre Campo - MG,13726,2016
3100302,Abre Campo - MG,13733,2017
3100302,Abre Campo - MG,13465,2018
3100302,Abre Campo - MG,13454,2019
3100302,Abre Campo - MG,13444,2020
3100302,Abre Campo - MG,13434,2021
3100302,Abre Campo - MG,13927,2022
3100302,Abre Campo - MG,13927,2023
3100401,Acaiaca - MG,3920,2010
3100401,Acaiaca - MG,3923,2011
3100401,Acaiaca - MG,3925,2012
3100401,Acaiaca - MG,4045,2013
3100401,Acaiaca - MG,4050,2014
3100401,Acaiaca - MG,4056,2015
3100401,Acaiaca - MG,4061,2016
3100401,Acaiaca - MG,4065,2017
3100401,Acaiaca - MG,3994,2018
3100401,Acaiaca - MG,3994,2019
3100401,Acaiaca - MG,3994,2020
3100401,Acaiaca - MG,3995,2021
3100401,Acaiaca - MG,3909,2022
3100401,Acaiaca - MG,3909,2023
3100500,Açucena - MG,10276,2010
3100500,Açucena - MG,10183,2011
3100500,Açucena - MG,10093,2012
3100500,Açucena - MG,10297,2013
3100500,Açucena - MG,10216,2014
3100500,Açucena - MG,10140,2015
3100500,Açucena - MG,10066,2016
3100500,Açucena - MG,9997,2017
3100500,Açucena - MG,9575,2018
3100500,Açucena - MG,9470,2019
3100500,Açucena - MG,9368,2020
